"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","0.1u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C2,C5,C8,C10,C13,C14,C15,C16,C18,C20,C21","11","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C3,C4","2","10uF","","","","TANTALUM-SMD-10UF-20V-20__1206:CT1206",""
"C6","1","1u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C7,C12","2","10uf","","","","TANTALUM-SMD-10UF-20V-20__1206:CT1206",""
"C9","1","4.7uF","","","","TANTALUM-SMD-10UF-20V-20__1206:CT1206",""
"C11,C19,C22","3","1uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C17","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1,D5","2","LTST-C170GKT","","","","LTST-C170GKT:LED_LTST-C170GKT",""
"D2,D4,D6","3","LTST-C170KRKT","","","","LTST-C170KRKT:DIOC200X125X110",""
"D3","1","LTST-C170TBKT","","","","LTST-C170TBKT:DIOC200X125X110",""
"F1","1","0ZCH0110AF2E","","","","0ZCH0110AF2E:FUSC3225X100N",""
"J1","1","SS-52400-003","","","","C_TYPE:BELFUSE_SS-52400-003",""
"J2","1","B2B-PH-SM4-TB","","","","B2B-PH-SM4-TB:JST_B2B-PH-SM4-TB",""
"J3","1","GSD090012SEU","","","","GSD090012SEU:AMPHENOL_GSD090012SEU",""
"J4","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J5","1","Conn_01x05_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"MK1","1","CMC-5042PF-AC","","","","CMC-5042PF-AC:CUI_CMC-5042PF-AC",""
"Q1","1","TEMT6000X01","","","","TEMT6000X01:TRANS_TEMT6000X01",""
"Q2,Q3","2","BC817","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf"
"R1,R2,R19,R23,R30,R32,R33,R34","8","10K","","","","Resistor_SMD:R_0805_2012Metric",""
"R3,R4","2","5.1K","","","","Resistor_SMD:R_0805_2012Metric",""
"R5,R26,R28","3","2K","","","","Resistor_SMD:R_0805_2012Metric",""
"R6","1","20K","","","","Resistor_SMD:R_0805_2012Metric",""
"R7,R8,R9,R10,R14,R15","6","470","","","","Resistor_SMD:R_0805_2012Metric",""
"R11","1","1K","","","","Resistor_SMD:R_0805_2012Metric",""
"R12","1","22.1K","","","","Resistor_SMD:R_0805_2012Metric",""
"R13","1","47.5K","","","","Resistor_SMD:R_0805_2012Metric",""
"R16,R20,R21,R22","4","50","","","","Resistor_SMD:R_0805_2012Metric",""
"R24,R25","2","4.7K","","","","Resistor_SMD:R_0805_2012Metric",""
"R27,R29","2","1M","","","","Resistor_SMD:R_0805_2012Metric",""
"R31","1","100K","","","","Resistor_SMD:R_0805_2012Metric",""
"S1","1","BOOT","","","","USLPT2819DT2TR:SW_USLPT2819DT2TR",""
"S2","1","RESET","","","","USLPT2819DT2TR:SW_USLPT2819DT2TR",""
"TP1","1","MOSI","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"TP2","1","MISO","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"TP3","1","SCLK","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"TP4","1","CS_SD","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"TP5","1","CS","","","","TestPoint:TestPoint_Pad_D1.0mm",""
"U1","1","MCP73871","","","","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.mouser.com/ds/2/268/22090a-52174.pdf"
"U2","1","BME280","","","","BME280:PSON65P250X250X100-8N",""
"U3","1","ESP32-C3-WROOM-02-H4","","","","ESP32-C3-WROOM-02-H4:MODULE_ESP32-C3-WROOM-02-H4",""
"U4","1","CP2102N-A02-GQFN20R","","","","CP2102N-A02-GQFN20R:SILABS_CP2102N-A02-GQFN20R",""
"U5","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U6","1","W25Q32JVSSIQ","","","","W25Q32JVSSIQ:SOIC127P790X216-8N",""
"U7","1","MAX4466EXK","","","","MAX4466EXK:SOT65P210X110-5N",""
"VR1","1","LM1117MPX-3.3","","","","LM1117MPX-3.3:VREG_LM1117MPX-3.3",""
